customer_id,country,signup_date
C001,India,2024-02-20
C002,UK,2024-03-06
C003,UK,2024-02-14
C004,UK,2024-01-28
C005,UK,2024-01-13
C006,USA,2024-03-02
C007,USA,2024-03-29
C008,Canada,2024-03-01
C009,India,2024-03-16
C010,India,2024-03-20
C011,India,2024-01-14
C012,USA,2024-03-20
C013,Australia,2024-01-06
C014,Australia,2024-01-06
C015,India,2024-01-20
C016,UK,2024-01-08
C017,Canada,2024-02-01
C018,USA,2024-02-12
C019,India,2024-01-28
C020,Australia,2024-03-24
C021,USA,2024-03-23
C022,Canada,2024-03-08
C023,India,2024-02-01
C024,India,2024-03-26
C025,UK,2024-03-12
C026,India,2024-02-12
C027,Canada,2024-03-15
C028,Canada,2024-02-01
C029,Australia,2024-02-26
C030,USA,2024-03-02
C031,USA,2024-03-02
C032,India,2024-01-05
C033,USA,2024-03-03
C034,Australia,2024-01-31
C035,USA,2024-01-18
C036,UK,2024-02-03
C037,UK,2024-01-06
C038,UK,2024-03-05
C039,India,2024-01-11
C040,USA,2024-01-03
C041,Canada,2024-03-13
C042,Canada,2024-03-07
C043,Australia,2024-01-28
C044,USA,2024-03-08
C045,Canada,2024-03-25
C046,USA,2024-01-14
C047,Australia,2024-01-18
C048,UK,2024-01-26
C049,UK,2024-03-11
C050,Canada,2024-02-11
C051,Canada,2024-02-18
C052,Canada,2024-04-01
C053,USA,2024-03-17
C054,Canada,2024-02-08
C055,Australia,2024-01-27
C056,UK,2024-01-09
C057,India,2024-03-26
C058,Australia,2024-03-07
C059,UK,2024-01-14
C060,Canada,2024-01-06
C061,USA,2024-03-25
C062,UK,2024-01-10
C063,Australia,2024-02-09
C064,Australia,2024-03-14
C065,Canada,2024-02-28
C066,USA,2024-02-02
C067,UK,2024-01-18
C068,Australia,2024-01-15
C069,USA,2024-03-17
C070,UK,2024-01-10
C071,USA,2024-02-03
C072,USA,2024-01-16
C073,UK,2024-03-16
C074,UK,2024-01-12
C075,USA,2024-02-08
C076,UK,2024-01-10
C077,Canada,2024-02-18
C078,India,2024-01-14
C079,USA,2024-01-16
C080,USA,2024-02-02
C081,UK,2024-01-21
C082,Canada,2024-02-04
C083,USA,2024-03-25
C084,Canada,2024-02-13
C085,India,2024-02-22
C086,Canada,2024-02-18
C087,Canada,2024-02-14
C088,UK,2024-03-23
C089,India,2024-03-21
C090,India,2024-01-14
C091,USA,2024-03-21
C092,India,2024-01-23
C093,Australia,2024-03-05
C094,Canada,2024-01-14
C095,USA,2024-02-17
C096,UK,2024-03-08
C097,UK,2024-02-15
C098,India,2024-01-07
C099,Australia,2024-03-20
C100,Canada,2024-03-09
C101,UK,2024-03-04
C102,USA,2024-03-14
C103,Canada,2024-03-10
C104,USA,2024-03-14
C105,USA,2024-01-11
C106,Australia,2024-03-04
C107,Australia,2024-01-25
C108,UK,2024-02-11
C109,Australia,2024-02-28
C110,USA,2024-03-02
C111,India,2024-02-28
C112,Australia,2024-01-31
C113,Australia,2024-01-29
C114,India,2024-03-16
C115,USA,2024-03-26
C116,Australia,2024-02-09
C117,Australia,2024-01-23
C118,USA,2024-03-05
C119,India,2024-03-17
C120,Australia,2024-02-25
C121,India,2024-03-05
C122,Canada,2024-02-06
C123,Australia,2024-02-07
C124,USA,2024-02-11
C125,Canada,2024-02-15
C126,India,2024-01-17
C127,India,2024-03-15
C128,Canada,2024-01-01
C129,Australia,2024-02-22
C130,UK,2024-01-24
C131,Australia,2024-03-15
C132,Australia,2024-01-13
C133,India,2024-02-20
C134,Canada,2024-02-02
C135,Canada,2024-02-04
C136,USA,2024-01-28
C137,USA,2024-02-16
C138,USA,2024-03-07
C139,Canada,2024-03-06
C140,Canada,2024-03-17
C141,Australia,2024-02-22
C142,Australia,2024-03-04
C143,USA,2024-02-02
C144,UK,2024-03-30
C145,Australia,2024-03-14
C146,UK,2024-02-06
C147,Australia,2024-02-11
C148,UK,2024-02-29
C149,USA,2024-02-20
C150,Canada,2024-01-20
C151,India,2024-01-01
C152,USA,2024-01-26
C153,Australia,2024-03-12
C154,Canada,2024-03-19
C155,India,2024-02-18
C156,Canada,2024-03-30
C157,India,2024-01-09
C158,USA,2024-02-06
