order_id,customer_id,amount_cents,status,created_at
1,C649,1425,pending,2024-04-29
2,C777,5250,cancelled,2024-04-20
3,C397,3667,pending,2024-04-06
4,C558,4103,cancelled,2024-04-26
5,C151,1352,cancelled,2024-04-04
6,C410,5875,delivered,2024-04-25
7,C341,4818,cancelled,2024-04-15
8,C827,1807,cancelled,2024-04-13
9,C864,6444,cancelled,2024-04-03
10,C431,7736,delivered,2024-04-10
11,C216,2803,pending,2024-04-29
12,C794,1829,delivered,2024-04-25
13,C731,6545,delivered,2024-04-29
14,C856,9997,delivered,2024-04-20
15,C217,8719,delivered,2024-04-01
16,C548,8606,delivered,2024-04-22
17,C031,9473,cancelled,2024-04-28
18,C541,8044,pending,2024-04-07
19,C567,2139,delivered,2024-04-05
20,C674,7619,delivered,2024-04-02
21,C347,9381,cancelled,2024-04-10
22,C095,9019,delivered,2024-04-16
23,C676,7113,pending,2024-04-26
24,C107,8247,delivered,2024-04-27
25,C324,4086,cancelled,2024-04-15
26,C537,6961,delivered,2024-04-04
27,C966,2130,pending,2024-04-06
28,C088,9357,pending,2024-04-23
29,C037,9039,cancelled,2024-04-25
30,C792,3102,delivered,2024-04-01
31,C792,3139,cancelled,2024-04-08
32,C628,777,cancelled,2024-04-01
33,C276,4423,pending,2024-04-25
34,C364,7348,delivered,2024-04-18
35,C058,8232,delivered,2024-04-13
36,C111,7924,cancelled,2024-04-07
37,C899,9139,pending,2024-04-16
38,C705,982,pending,2024-04-26
39,C064,4419,cancelled,2024-04-27
40,C387,5491,cancelled,2024-04-17
41,C086,516,pending,2024-04-11
42,C751,9624,pending,2024-04-27
43,C892,4285,delivered,2024-04-23
44,C785,3758,pending,2024-04-20
45,C473,8277,delivered,2024-04-20
46,C260,4697,pending,2024-04-30
47,C251,3893,delivered,2024-04-16
48,C962,2485,pending,2024-04-22
49,C992,7348,pending,2024-04-24
50,C645,2332,pending,2024-04-06
51,C521,6658,pending,2024-04-30
52,C622,1761,cancelled,2024-04-02
53,C656,8370,pending,2024-04-01
54,C847,7471,delivered,2024-04-22
55,C669,2426,pending,2024-04-30
56,C896,4812,pending,2024-04-19
57,C947,7327,cancelled,2024-04-22
58,C232,8091,pending,2024-04-24
59,C447,8081,pending,2024-04-28
60,C866,4909,pending,2024-04-26
61,C549,9050,pending,2024-04-30
62,C365,3708,pending,2024-04-22
63,C319,7223,cancelled,2024-04-21
64,C627,6815,cancelled,2024-04-11
65,C865,6262,pending,2024-04-01
66,C313,2783,cancelled,2024-04-13
67,C557,5017,cancelled,2024-04-20
68,C095,5800,cancelled,2024-04-19
69,C514,5173,delivered,2024-04-28
70,C911,1677,delivered,2024-04-10
71,C396,8351,pending,2024-04-15
72,C753,4160,cancelled,2024-04-12
73,C527,3940,delivered,2024-04-19
74,C699,9069,cancelled,2024-04-18
75,C842,2523,delivered,2024-04-25
76,C873,7134,cancelled,2024-04-02
77,C087,6597,delivered,2024-04-24
78,C307,1239,pending,2024-04-22
79,C564,3458,cancelled,2024-04-29
80,C553,8562,delivered,2024-04-18
81,C615,5477,pending,2024-04-22
82,C724,5821,delivered,2024-04-30
83,C378,2027,delivered,2024-04-01
84,C415,3657,delivered,2024-04-22
85,C025,7150,pending,2024-04-16
86,C890,7933,delivered,2024-04-24
87,C009,6265,pending,2024-04-18
88,C682,5272,cancelled,2024-04-19
89,C887,7457,pending,2024-04-29
90,C051,7448,pending,2024-04-04
91,C901,3478,pending,2024-04-19
92,C105,6471,pending,2024-04-03
93,C579,1520,cancelled,2024-04-03
94,C882,3609,cancelled,2024-04-17
95,C798,5009,delivered,2024-04-30
96,C681,9292,cancelled,2024-04-08
97,C782,2316,cancelled,2024-04-16
98,C355,2847,delivered,2024-04-16
99,C195,6546,cancelled,2024-04-20
100,C555,8901,cancelled,2024-04-27
101,C335,1136,pending,2024-04-06
102,C328,6695,delivered,2024-04-18
103,C526,9236,pending,2024-04-09
104,C681,6769,delivered,2024-04-10
105,C546,9958,pending,2024-04-09
106,C956,8757,cancelled,2024-04-29
107,C305,3988,cancelled,2024-04-01
108,C527,7952,cancelled,2024-04-29
109,C677,2014,pending,2024-04-24
110,C228,7205,pending,2024-04-11
111,C298,9308,cancelled,2024-04-11
112,C667,9286,delivered,2024-04-07
113,C839,3133,delivered,2024-04-12
114,C320,1180,cancelled,2024-04-19
115,C316,5403,pending,2024-04-21
116,C673,7449,delivered,2024-04-11
117,C700,5159,pending,2024-04-04
118,C566,7597,delivered,2024-04-28
119,C258,3651,pending,2024-04-24
120,C665,4589,cancelled,2024-04-19
121,C305,6629,cancelled,2024-04-27
122,C976,9751,cancelled,2024-04-25
123,C637,5549,delivered,2024-04-10
124,C842,8939,delivered,2024-04-10
125,C237,2627,delivered,2024-04-29
126,C228,9268,pending,2024-04-02
127,C991,4852,pending,2024-04-02
128,C672,4439,cancelled,2024-04-17
129,C292,4330,cancelled,2024-04-05
130,C551,6096,cancelled,2024-04-26
131,C932,6292,cancelled,2024-04-23
132,C235,9673,delivered,2024-04-12
133,C015,6502,delivered,2024-04-01
134,C118,1810,pending,2024-04-27
135,C841,1841,delivered,2024-04-01
136,C348,3536,cancelled,2024-04-03
137,C730,8986,delivered,2024-04-19
138,C480,7425,pending,2024-04-30
139,C499,7114,delivered,2024-04-08
140,C968,7889,delivered,2024-04-20
141,C260,8933,delivered,2024-04-02
142,C993,5269,cancelled,2024-04-13
143,C909,8426,pending,2024-04-27
144,C759,9639,pending,2024-04-19
145,C680,2665,cancelled,2024-04-08
146,C563,3003,cancelled,2024-04-03
147,C991,1177,delivered,2024-04-26
148,C712,5297,pending,2024-04-23
149,C324,3885,cancelled,2024-04-12
150,C988,6422,cancelled,2024-04-09
151,C961,8258,delivered,2024-04-24
152,C194,8401,cancelled,2024-04-14
153,C589,4515,pending,2024-04-30
154,C946,5849,delivered,2024-04-13
155,C394,1677,pending,2024-04-18
156,C112,9749,cancelled,2024-04-04
157,C721,6216,cancelled,2024-04-27
158,C598,4429,cancelled,2024-04-27
159,C287,5660,pending,2024-04-20
160,C868,3733,pending,2024-04-08
161,C808,9604,pending,2024-04-17
162,C117,3359,delivered,2024-04-13
163,C065,1047,delivered,2024-04-24
164,C209,1286,pending,2024-04-12
165,C521,9504,pending,2024-04-20
166,C257,3089,pending,2024-04-22
167,C602,9158,cancelled,2024-04-17
168,C494,7835,pending,2024-04-11
169,C460,858,pending,2024-04-30
170,C287,5336,delivered,2024-04-01
171,C975,8789,cancelled,2024-04-26
172,C332,5240,pending,2024-04-11
173,C882,2451,delivered,2024-04-17
174,C963,6253,cancelled,2024-04-29
175,C625,5637,cancelled,2024-04-10
176,C373,2255,delivered,2024-04-06
177,C285,8290,pending,2024-04-11
178,C326,7740,delivered,2024-04-03
179,C898,3900,cancelled,2024-04-11
180,C099,798,cancelled,2024-04-17
181,C474,7177,pending,2024-04-27
182,C867,3319,cancelled,2024-04-05
183,C120,9163,delivered,2024-04-08
184,C128,4356,cancelled,2024-04-12
185,C432,4160,delivered,2024-04-09
186,C114,5862,delivered,2024-04-16
187,C200,5586,delivered,2024-04-05
188,C084,6009,cancelled,2024-04-20
189,C790,877,cancelled,2024-04-29
190,C484,5543,delivered,2024-04-29
191,C161,6753,delivered,2024-04-16
192,C927,4572,delivered,2024-04-02
193,C729,7678,cancelled,2024-04-18
194,C377,6529,pending,2024-04-30
195,C297,6285,cancelled,2024-04-16
196,C518,1007,delivered,2024-04-16
197,C779,5263,cancelled,2024-04-19
198,C971,760,delivered,2024-04-10
199,C852,719,pending,2024-04-19
200,C709,5804,pending,2024-04-26
201,C017,3324,cancelled,2024-04-22
202,C335,7673,delivered,2024-04-26
203,C887,6039,cancelled,2024-04-01
204,C811,6321,cancelled,2024-04-14
205,C008,2993,cancelled,2024-04-10
206,C618,6319,delivered,2024-04-06
207,C110,3988,delivered,2024-04-10
208,C450,6967,cancelled,2024-04-04
209,C736,8399,delivered,2024-04-09
210,C056,4049,pending,2024-04-17
211,C626,9942,pending,2024-04-07
212,C907,6217,pending,2024-04-15
213,C838,7753,cancelled,2024-04-15
214,C847,6460,delivered,2024-04-29
215,C559,3887,delivered,2024-04-10
216,C934,8418,delivered,2024-04-21
217,C916,2624,cancelled,2024-04-02
218,C027,3183,delivered,2024-04-05
219,C426,7329,pending,2024-04-28
220,C051,3605,delivered,2024-04-13
221,C215,8441,cancelled,2024-04-05
222,C767,6573,delivered,2024-04-14
223,C422,7589,delivered,2024-04-12
224,C763,5949,pending,2024-04-01
225,C647,3689,cancelled,2024-04-27
226,C112,1327,cancelled,2024-04-05
227,C026,5769,cancelled,2024-04-22
228,C646,5098,cancelled,2024-04-15
229,C719,3530,delivered,2024-04-16
230,C306,5436,delivered,2024-04-16
231,C001,1967,cancelled,2024-04-18
232,C384,2336,delivered,2024-04-18
233,C074,6211,pending,2024-04-28
234,C483,2164,delivered,2024-04-01
235,C694,2971,delivered,2024-04-07
236,C677,9582,cancelled,2024-04-22
237,C935,8565,cancelled,2024-04-22
238,C954,3298,delivered,2024-04-01
239,C376,1478,delivered,2024-04-24
240,C590,1493,pending,2024-04-27
241,C798,7963,pending,2024-04-29
242,C585,5844,pending,2024-04-16
243,C529,7718,cancelled,2024-04-27
244,C680,4205,cancelled,2024-04-19
245,C344,6897,delivered,2024-04-20
246,C727,3192,cancelled,2024-04-01
247,C227,6985,delivered,2024-04-20
248,C108,611,cancelled,2024-04-24
249,C878,7647,pending,2024-04-02
250,C005,7916,pending,2024-04-03
251,C950,3618,pending,2024-04-22
252,C904,1623,cancelled,2024-04-20
253,C855,4882,delivered,2024-04-28
254,C041,6798,delivered,2024-04-26
255,C610,1621,delivered,2024-04-21
256,C371,1296,cancelled,2024-04-05
257,C766,4662,delivered,2024-04-27
258,C953,1146,pending,2024-04-05
259,C468,9054,pending,2024-04-18
260,C932,5396,cancelled,2024-04-19
261,C118,6741,pending,2024-04-01
262,C071,2526,delivered,2024-04-25
263,C213,4111,delivered,2024-04-22
264,C751,6726,cancelled,2024-04-21
265,C756,1676,pending,2024-04-05
266,C796,4638,delivered,2024-04-26
267,C143,1838,cancelled,2024-04-09
268,C948,6075,pending,2024-04-26
269,C830,5929,pending,2024-04-14
270,C889,2857,pending,2024-04-12
271,C620,3180,delivered,2024-04-20
272,C458,8558,delivered,2024-04-26
273,C571,5679,cancelled,2024-04-12
274,C057,5685,delivered,2024-04-01
275,C697,4764,cancelled,2024-04-10
276,C521,2446,delivered,2024-04-05
277,C311,8241,pending,2024-04-23
278,C453,5992,pending,2024-04-14
279,C819,2942,delivered,2024-04-25
280,C117,2286,pending,2024-04-30
281,C502,2645,cancelled,2024-04-12
282,C363,5733,pending,2024-04-03
283,C071,4077,delivered,2024-04-29
284,C203,6719,delivered,2024-04-16
285,C391,5767,cancelled,2024-04-10
286,C057,9704,cancelled,2024-04-20
287,C022,4906,pending,2024-04-27
288,C049,8894,cancelled,2024-04-06
289,C703,6706,cancelled,2024-04-04
290,C379,861,cancelled,2024-04-10
291,C370,6734,delivered,2024-04-16
292,C407,733,delivered,2024-04-20
293,C270,7449,cancelled,2024-04-17
294,C541,760,pending,2024-04-08
295,C441,2296,delivered,2024-04-02
296,C895,5710,delivered,2024-04-21
297,C495,3399,delivered,2024-04-17
298,C382,1105,cancelled,2024-04-29
299,C697,6225,cancelled,2024-04-20
300,C985,8291,cancelled,2024-04-22
301,C915,4235,cancelled,2024-04-05
302,C267,9380,delivered,2024-04-01
303,C150,1592,delivered,2024-04-26
304,C731,8967,pending,2024-04-30
305,C484,8571,pending,2024-04-09
306,C773,9161,delivered,2024-04-14
307,C201,6702,pending,2024-04-01
308,C982,3895,cancelled,2024-04-06
309,C255,9704,pending,2024-04-25
310,C155,7917,pending,2024-04-21
311,C157,6953,cancelled,2024-04-22
312,C212,8339,pending,2024-04-28
313,C295,2479,cancelled,2024-04-28
314,C121,7712,cancelled,2024-04-05
315,C071,2099,pending,2024-04-12
316,C528,9982,cancelled,2024-04-04
317,C040,4471,cancelled,2024-04-23
318,C070,3633,cancelled,2024-04-21
319,C254,871,delivered,2024-04-27
320,C355,6567,cancelled,2024-04-30
321,C257,8065,cancelled,2024-04-29
322,C005,8940,cancelled,2024-04-04
323,C815,2753,cancelled,2024-04-08
324,C914,5730,delivered,2024-04-11
