transaction_amount,transactions_last_24h,account_age_days,distance_from_home_km,is_foreign_transaction,is_high_risk_country,fraud
56.31,3,1208,29.88,0,0,0
361.21,4,471,6.97,0,0,1
158.01,1,1340,3.51,0,0,1
109.55,2,1621,22.38,0,0,1
20.35,4,254,8.51,0,0,1
20.35,4,131,3.2,0,1,1
7.18,4,194,35.22,0,0,1
241.35,3,41,3.31,0,0,1
110.29,3,1007,0.39,0,0,0
147.75,1,1996,0.31,0,0,0
2.5,4,771,14.61,0,0,0
420.43,2,578,16.26,0,0,1
214.37,2,319,5.59,0,0,1
28.64,2,1405,5.79,0,0,0
24.08,6,1689,6.22,0,0,1
24.31,1,839,17.1,0,1,1
43.53,2,1629,0.9,0,0,0
89.27,2,1001,39.7,0,0,0
67.86,2,1089,3.78,1,0,1
41.31,5,800,120.39,0,0,1
113.56,3,1306,2.82,0,0,0
18.03,1,473,22.15,0,0,1
41.46,3,687,3.79,0,0,0
54.75,5,1489,1.26,0,0,0
73.07,4,988,31.18,0,0,0
184.55,4,679,29.36,0,0,1
26.73,5,1282,7.75,1,0,1
86.64,2,707,18.18,1,0,1
107.7,3,1003,12.22,0,0,0
5.71,2,87,28.76,1,0,0
112.24,8,543,5.68,0,0,1
22.44,3,117,11.12,0,0,0
8.07,4,1306,9.96,0,0,0
356.84,5,773,6.55,0,0,1
404.48,4,24,33.31,0,0,0
198.28,3,379,2.72,0,0,0
43.59,3,1337,2.43,0,0,0
12.33,1,1705,12.9,0,0,1
138.33,4,214,16.07,0,0,0
69.61,4,1146,3.25,0,0,0
15.62,3,1713,7.43,0,1,1
82.03,2,874,43.94,1,0,0
4.2,5,1286,4.25,0,0,0
288.05,1,450,16.56,0,0,0
35.93,7,1219,20.21,1,0,1
130.35,3,868,8.92,0,0,0
44.83,4,236,41.6,0,0,1
88.09,2,537,20.01,0,0,0
94.95,0,1701,9.19,0,0,1
24.53,4,363,12.64,0,0,0
419.14,3,632,17.69,0,0,0
179.07,4,1034,13.45,0,0,1
336.61,3,1586,31.64,0,1,0
270.26,1,1593,6.62,1,0,0
109.33,0,936,5.35,0,0,1
305.93,3,1453,3.61,1,0,1
11.12,2,1653,0.58,1,0,1
26.18,6,1194,0.66,0,0,1
5.55,2,170,30.61,0,0,0
47.22,4,880,17.02,0,0,0
59.06,3,1161,16.21,1,1,1
37.99,7,1755,14.3,0,0,0
211.75,5,1184,28.38,0,0,1
52.95,4,453,9.82,0,0,1
39.58,1,1800,30.65,0,0,0
93.89,6,1504,6.68,1,0,1
18.23,1,472,39.2,0,0,0
194.46,2,1763,17.99,1,0,0
9.3,1,1063,4.46,0,0,0
520.1,3,482,12.45,0,0,1
177.54,2,566,11.42,1,0,0
26.58,1,89,2.23,0,0,0
0.66,0,1072,13.42,1,0,0
202.79,1,249,5.67,0,0,1
147.25,1,566,0.81,0,0,0
156.68,5,599,44.54,0,0,0
177.03,2,1370,15.39,1,0,1
9.23,6,1941,31.42,1,0,1
53.27,2,1894,16.91,0,0,0
14.78,5,1833,6.62,0,0,0
238.62,2,1985,10.78,0,0,0
117.16,1,1313,16.89,0,0,0
48.22,1,1149,48.38,0,1,0
7.88,2,278,4.39,0,0,1
44.7,3,1949,31.19,1,0,1
47.2,2,344,38.67,0,0,0
156.95,1,321,16.65,0,0,1
121.79,5,1086,40.16,0,0,1
261.87,5,1101,7.61,0,0,0
76.69,2,703,45.87,1,0,0
15.28,1,43,18.2,0,0,1
149.9,3,1829,0.64,1,0,1
171.65,0,1851,35.61,1,0,1
98.87,2,395,9.94,0,0,1
176.87,6,258,9.25,0,0,0
81.7,7,1144,12.54,0,0,1
88.76,3,1127,2.43,0,0,0
66.94,3,1443,9.5,0,0,0
3.09,3,1212,26.68,0,0,0
13.7,1,1080,0.23,0,0,1
3.83,3,803,4.78,0,0,0
121.41,4,861,0.04,0,1,1
45.29,4,883,8.06,0,0,1
85.25,1,1637,19.55,0,1,0
285.75,3,385,24.05,0,0,1
34.41,0,733,43.56,0,0,0
63.39,2,1620,14.07,0,0,1
169.05,4,1923,4.41,0,0,1
31.18,6,211,38.68,0,0,0
9.61,3,454,22.4,0,0,0
41.06,2,1952,12.81,0,0,0
21.1,4,1966,17.84,0,0,0
318.59,2,306,38.72,1,0,1
198.11,4,1341,18.69,0,0,0
120.42,2,1756,6.89,0,0,1
246.18,6,502,18.73,0,0,1
195.36,2,347,0.62,0,0,1
24.78,0,1978,7.33,0,0,0
267.7,5,932,7.82,1,0,1
93.01,3,1679,2.74,0,0,1
197.68,2,1875,0.35,1,0,0
271.71,5,1099,2.15,0,0,1
45.93,4,801,15.95,1,0,1
13.99,4,1455,24.31,0,0,1
31.04,7,1573,66.6,0,0,0
66.85,2,1957,6.38,0,0,1
204.46,2,1662,13.72,0,0,1
236.56,5,1526,41.5,0,0,0
0.84,4,1915,2.74,0,0,0
85.79,3,971,18.97,0,0,1
64.83,2,326,21.1,0,0,1
30.14,4,951,1.4,0,0,0
15.32,4,1870,29.63,0,0,0
49.43,5,635,25.16,1,0,1
343.57,1,84,0.51,0,0,0
46.85,2,1747,1.43,0,0,0
87.77,1,948,0.76,0,0,0
145.69,4,68,6.11,0,0,0
54.24,1,395,10.68,1,0,0
428.14,3,24,11.4,0,1,1
393.84,1,1264,4.67,0,1,1
34.81,2,1650,36.39,1,0,0
82.52,5,1710,6.89,0,0,0
42.95,4,208,0.7,0,0,1
40.23,3,1949,5.35,1,1,1
4.51,3,1387,11.36,0,0,1
112.86,5,44,7.87,0,0,1
83.82,3,171,4.8,0,0,1
6.34,2,1790,2.11,0,0,0
39.2,1,991,25.65,1,0,0
286.66,2,808,83.38,0,0,1
32.86,1,904,6.0,0,0,0
18.78,2,480,7.21,0,0,1
80.67,1,540,14.44,0,0,0
509.28,3,1997,19.01,0,0,1
33.26,3,801,7.46,0,0,0
133.82,6,861,35.3,0,0,0
172.07,5,1456,12.31,1,0,1
32.56,6,357,8.98,0,0,1
156.33,1,703,15.61,0,0,0
55.02,2,944,45.8,0,0,1
120.06,4,922,23.74,0,0,0
120.46,2,156,0.61,0,0,0
92.09,1,1407,6.06,0,0,1
11.36,4,1721,9.54,1,0,0
216.44,4,684,5.66,1,0,0
46.42,1,1449,18.07,0,0,0
24.77,4,696,26.25,0,0,1
5.0,3,1527,19.71,0,0,1
107.25,1,1592,68.11,0,0,1
135.82,2,1289,4.77,0,0,0
2.01,1,969,31.19,0,0,0
86.12,2,695,21.83,0,0,0
30.82,2,1136,6.75,0,0,1
124.33,3,130,19.87,0,0,1
22.99,4,428,1.65,0,0,0
140.91,4,359,23.36,0,0,0
58.68,0,1690,11.4,1,0,0
331.24,3,51,5.19,1,0,1
17.75,0,1400,16.0,0,0,0
50.06,3,38,15.39,0,0,0
14.45,1,975,3.53,0,0,0
310.34,4,1925,0.46,0,1,1
251.8,5,794,8.53,0,0,0
35.8,1,23,12.64,0,0,0
129.45,3,929,31.39,0,0,1
203.94,3,1986,39.51,0,0,1
97.22,3,827,11.29,0,0,1
90.51,2,834,21.02,1,0,1
33.23,3,1518,8.68,0,0,1
11.73,3,1222,20.56,0,0,1
273.01,4,881,3.44,0,0,1
276.81,3,304,6.96,0,0,1
120.32,1,1216,15.09,0,0,0
49.69,2,873,0.27,0,0,0
51.55,4,557,19.23,0,0,0
155.34,1,1915,27.08,0,0,1
272.89,4,1070,7.64,0,0,1
261.74,2,1017,8.91,0,0,1
181.63,1,1047,28.59,0,0,0
123.28,5,1956,22.42,0,0,0
