income,credit_score,employment_years,loan_amount,debt_to_income,loan_approved
141958,747,20,271317,0.67,1
35795,799,20,376513,0.5,1
20860,314,13,293544,0.56,0
123694,588,19,186517,0.73,1
148106,777,13,75305,0.38,1
139879,530,3,173636,0.33,1
130268,719,11,444030,0.11,1
96820,456,16,477963,0.68,1
74886,849,6,93791,0.66,1
26265,740,8,164034,0.17,1
102386,396,2,483108,0.5,0
148214,710,27,484058,0.42,1
57194,588,12,75533,0.18,1
107498,553,14,192256,0.79,1
132727,495,17,481128,0.25,1
146324,821,18,370735,0.15,1
64131,816,0,146650,0.52,1
80263,417,5,136060,0.62,1
36023,458,26,154696,0.12,1
61090,527,26,306338,0.56,1
87221,515,22,377047,0.47,1
84820,314,26,398605,0.17,1
20769,456,26,366447,0.22,1
79735,560,1,247188,0.5,1
82955,456,23,381047,0.31,1
84925,346,13,334535,0.76,1
141637,623,5,242501,0.67,1
87969,429,13,412010,0.79,1
25311,710,3,325146,0.28,1
123355,394,20,302675,0.78,1
124724,591,7,188887,0.4,1
103104,582,29,9986,0.34,1
73707,368,2,299442,0.14,1
105305,310,18,268625,0.14,1
48693,553,29,323552,0.58,1
91932,849,13,205339,0.42,1
147723,433,26,126950,0.26,1
113016,322,19,415051,0.53,1
126970,645,16,130355,0.28,1
45658,601,24,32798,0.5,1
104478,662,7,96649,0.35,1
142537,695,23,332031,0.68,1
38431,517,13,24477,0.67,1
22747,440,25,415482,0.43,1
143855,509,5,222400,0.35,1
79150,759,22,222060,0.35,1
85725,655,21,394959,0.66,1
149981,623,15,441742,0.33,1
104654,432,24,394570,0.25,1
55773,426,18,410105,0.16,1
139346,405,13,291479,0.43,1
87435,677,18,409470,0.44,1
76886,350,2,353754,0.69,1
86803,328,9,278586,0.25,1
51551,761,18,313433,0.37,1
136216,595,8,320891,0.67,1
31394,596,27,304471,0.68,1
89092,706,19,414415,0.37,1
23890,704,12,339971,0.42,1
61606,645,6,111464,0.31,1
116276,719,13,136184,0.75,1
145768,481,8,92051,0.18,1
100038,300,26,155653,0.75,1
107313,670,27,250300,0.58,1
30627,730,22,64722,0.47,1
28792,608,24,97036,0.12,1
128859,436,27,233634,0.43,1
128557,501,18,152595,0.39,1
93969,735,14,334104,0.21,1
63001,612,19,253709,0.56,1
96552,416,13,286696,0.78,1
43897,543,23,146880,0.49,1
88148,836,5,240419,0.6,1
141729,374,20,470741,0.15,1
144243,685,28,159692,0.39,1
140923,509,3,268031,0.18,1
140174,774,7,298946,0.53,1
43483,717,16,90024,0.76,1
144358,646,29,493765,0.56,1
68555,828,8,250809,0.15,1
145436,478,0,123639,0.35,1
37159,481,23,385392,0.49,1
130510,324,19,86938,0.38,1
126530,479,24,222813,0.68,1
100077,800,13,257100,0.67,1
55920,460,10,389890,0.53,1
112067,476,20,293193,0.36,1
87121,584,2,344933,0.28,1
89479,362,8,89526,0.17,1
109475,455,26,406062,0.35,1
39457,768,13,488779,0.39,1
86557,348,29,51220,0.57,1
97189,383,8,313307,0.56,1
129109,660,3,401981,0.15,1
98953,447,26,384270,0.38,1
72995,641,3,348630,0.23,1
60757,775,27,443486,0.21,1
29692,362,7,80277,0.68,1
65758,659,1,486494,0.13,1
149425,626,8,488455,0.39,1
92409,440,28,371389,0.22,1
91211,514,13,127332,0.72,1
85697,734,21,239231,0.49,1
57065,617,8,27931,0.26,1
112093,331,23,94116,0.45,1
119299,584,22,256671,0.61,1
149293,604,15,322777,0.77,1
52606,728,28,478918,0.25,1
147791,776,29,56913,0.72,1
31534,585,16,255216,0.75,1
114663,443,15,99776,0.74,1
60397,723,29,30991,0.54,1
146678,318,11,190917,0.54,1
111387,317,2,109092,0.38,1
21016,670,10,234577,0.63,1
109789,474,13,191384,0.47,1
75591,493,17,408777,0.57,1
109812,801,20,415117,0.4,1
43247,412,20,242113,0.61,1
44300,413,4,100556,0.68,1
94065,521,15,330019,0.2,1
102798,563,19,161989,0.68,1
29268,354,4,329264,0.48,1
106807,757,2,400204,0.69,1
32185,461,11,377185,0.4,1
83704,679,0,133467,0.37,1
106779,386,20,412472,0.74,1
59099,354,28,385634,0.28,1
28571,775,8,223800,0.69,1
143372,477,28,131155,0.44,1
125512,690,8,295374,0.46,1
58044,648,3,64778,0.32,1
71214,307,2,50833,0.5,1
81228,612,16,289769,0.33,1
134752,742,1,37088,0.13,1
68984,627,23,215722,0.29,1
60774,353,0,439383,0.1,1
22568,538,7,371081,0.78,1
140151,528,12,469507,0.78,1
82592,350,22,201375,0.38,1
87563,563,14,81361,0.61,1
22695,717,7,355373,0.34,1
144375,395,11,140189,0.57,1
68190,387,21,95265,0.66,1
25258,377,11,102718,0.76,1
107538,587,13,327854,0.38,1
59504,419,14,492642,0.65,0
53159,790,14,99876,0.29,1
33986,751,8,465270,0.79,1
81858,799,18,35949,0.12,1
149312,464,25,420763,0.52,1
32666,481,19,217954,0.56,1
58660,768,28,335280,0.58,1
23561,306,21,116541,0.18,1
46854,629,7,200691,0.76,1
84505,450,20,66842,0.23,1
124488,384,18,493019,0.54,1
72251,446,5,237930,0.26,1
42662,680,19,294134,0.32,1
28392,847,24,152265,0.48,1
50535,584,28,297253,0.39,1
98603,381,18,135356,0.21,1
133569,813,3,417449,0.22,1
72256,822,22,249629,0.39,1
109135,685,6,217802,0.63,1
147478,770,27,395277,0.73,1
55222,418,27,170582,0.16,1
97373,695,3,268450,0.38,1
99575,831,21,8849,0.17,1
143684,560,11,17360,0.11,1
116354,555,12,378216,0.56,1
104651,525,2,258279,0.52,1
83335,352,21,99767,0.21,1
30965,799,11,266445,0.26,1
44538,805,1,181872,0.12,1
128066,663,23,435179,0.68,1
90592,579,1,59330,0.78,1
118018,457,26,56707,0.19,1
133252,358,22,285833,0.26,1
28110,427,8,34084,0.71,1
99309,414,0,45387,0.75,1
47266,508,7,341960,0.39,1
72992,825,22,7642,0.14,1
102948,820,5,309281,0.13,1
142073,536,5,478048,0.5,1
118806,580,21,191633,0.38,1
26910,658,24,329404,0.12,1
130989,500,17,151510,0.51,1
110982,577,16,315586,0.11,1
141626,534,28,370205,0.65,1
139176,793,11,401210,0.31,1
20206,303,5,259511,0.13,1
107054,741,25,392988,0.51,1
107897,328,26,366719,0.38,1
142409,408,7,268957,0.78,1
43419,374,18,360171,0.48,1
70636,445,27,390633,0.29,1
142546,427,9,89381,0.6,1
134238,341,0,254880,0.29,1
70015,655,24,322420,0.73,1
137478,340,28,308387,0.36,1
142096,333,12,198984,0.48,1
127059,316,16,65272,0.14,1
74268,452,2,178123,0.4,1
130687,677,7,477070,0.68,1
107939,641,13,218808,0.66,1
38141,326,2,258091,0.26,1
100356,586,15,332762,0.26,1
125878,467,12,269064,0.67,1
91910,567,19,111121,0.75,1
76044,754,23,475435,0.17,1
87214,700,16,81872,0.42,1
137930,775,12,348276,0.34,1
139324,429,28,269237,0.71,1
53827,662,5,280049,0.16,1
75820,591,16,126759,0.25,1
82623,670,13,422567,0.63,1
101734,328,16,298125,0.14,1
95450,448,29,341047,0.44,1
113426,595,7,337965,0.41,1
137845,310,10,376344,0.33,1
42299,811,19,87289,0.38,1
63585,412,27,121506,0.47,1
129225,486,0,482237,0.21,1
84044,526,25,83513,0.5,1
62557,609,6,418090,0.66,1
69080,397,20,187003,0.63,1
129556,354,20,405890,0.21,1
22693,705,16,317660,0.2,1
115003,368,29,264480,0.29,1
115259,611,9,267043,0.35,1
132235,588,10,492790,0.39,1
89163,847,21,196758,0.58,1
45939,447,29,493067,0.14,1
68925,766,8,336356,0.12,1
62941,543,8,138498,0.37,1
41834,790,23,259024,0.59,1
38047,806,4,135970,0.24,1
46105,664,16,95009,0.55,1
95766,781,8,204570,0.28,1
35707,500,16,428159,0.72,1
41976,453,23,202467,0.73,1
64262,749,20,49816,0.31,1
145117,800,18,9138,0.26,1
43776,372,26,498944,0.39,1
50080,595,6,96176,0.27,1
148376,316,22,343089,0.57,1
86842,516,8,271161,0.68,1
81373,360,6,277595,0.57,1
26776,341,12,199028,0.68,1
112787,324,10,361007,0.38,1
147948,338,13,277422,0.21,1
75016,430,18,226552,0.62,1
29474,797,10,48764,0.35,1
125830,528,12,128030,0.57,1
78053,407,13,399350,0.29,1
41959,471,12,330087,0.16,1
25530,734,0,100667,0.79,1
114856,777,7,321462,0.21,1
139101,401,11,370567,0.79,1
23748,823,18,371142,0.78,1
117504,574,11,65128,0.66,1
118098,343,7,224128,0.56,1
33545,316,7,289013,0.5,1
147659,629,28,238540,0.71,1
86199,796,20,10039,0.3,1
54766,311,12,157353,0.43,1
93530,617,11,117935,0.53,1
113557,515,28,15442,0.39,1
81087,638,15,340932,0.4,1
115839,380,0,386873,0.33,1
136183,784,12,294730,0.49,1
88840,673,25,58053,0.7,1
138451,499,6,186561,0.24,1
74384,836,27,219176,0.75,1
71005,765,25,91346,0.58,1
66576,388,4,334231,0.68,1
59353,567,7,410841,0.49,1
82003,788,24,39397,0.65,1
103211,837,26,325815,0.11,1
72733,346,13,121214,0.67,1
85318,587,22,490001,0.13,1
129953,315,29,334041,0.72,1
109474,700,12,162221,0.79,1
43664,385,14,458246,0.31,1
87172,549,22,468122,0.25,1
105616,690,16,403499,0.64,1
145879,634,14,405826,0.28,1
113264,818,19,441542,0.71,1
135386,436,17,282068,0.17,1
46736,797,17,118143,0.19,1
114209,776,1,377397,0.79,1
123041,522,3,474378,0.57,1
132859,671,29,367441,0.69,1
132181,701,0,268013,0.33,1
20854,742,3,364232,0.57,1
110084,789,17,268158,0.52,1
58623,572,4,15103,0.52,1
27392,825,18,480738,0.58,1
75680,458,14,377461,0.5,1
146354,451,27,494223,0.4,1
66717,487,7,431674,0.29,1
139937,397,19,488821,0.64,1
107092,430,16,87409,0.26,1
70859,470,0,28248,0.58,1
145657,482,11,487376,0.26,1
124095,663,25,179588,0.54,1
46309,338,18,427277,0.62,1
107455,826,14,160242,0.25,1
83734,796,8,13024,0.14,1
90467,815,6,480430,0.19,1
72662,648,1,239864,0.52,1
118506,696,28,353091,0.69,1
129751,460,8,179875,0.13,1
138906,315,9,417512,0.61,1
32688,792,1,358973,0.34,1
45342,725,18,359852,0.43,1
57157,407,10,353808,0.75,0
87863,749,12,416473,0.33,1
126308,610,9,148927,0.43,1
72083,469,13,90178,0.11,1
126081,845,17,368265,0.16,1
85733,713,18,287169,0.28,1
109045,550,21,402674,0.12,1
54698,440,8,68610,0.54,1
130078,573,24,75843,0.4,1
100623,715,6,112237,0.48,1
42671,338,27,482177,0.22,1
45184,328,2,185903,0.31,1
113384,776,19,179499,0.56,1
62107,617,5,492025,0.78,1
106202,544,26,135299,0.14,1
129893,571,20,436722,0.72,1
71663,739,1,10668,0.5,1
35708,538,28,227542,0.49,1
111906,676,5,183267,0.45,1
69811,565,2,340377,0.15,1
22811,658,15,160489,0.16,1
76250,639,29,349126,0.52,1
132547,688,7,111133,0.34,1
92082,302,1,277895,0.74,1
144249,728,16,313362,0.38,1
54754,441,8,393793,0.2,1
115742,675,29,274496,0.6,1
126642,623,11,215124,0.31,1
31411,445,2,93835,0.47,1
22911,592,10,102493,0.59,1
