size_sqft,bedrooms,age_of_house,distance_from_city_km,price
1360,4,0,13.6,353128
1794,3,18,11.15,379779
1630,3,1,19.71,347092
1595,1,25,20.4,202144
2138,3,31,26.06,395361
2669,3,5,7.68,540987
966,1,31,15.48,117115
1738,3,3,17.59,330044
830,5,10,23.29,307519
1982,2,16,2.26,376364
2635,2,37,29.84,391206
3419,1,23,14.63,521108
630,4,4,9.11,310150
2185,1,33,26.62,293187
1269,4,5,22.68,350345
2891,2,21,28.64,454133
2015,1,10,10.59,342518
3353,5,15,17.03,711518
2933,3,32,17.6,531332
1715,4,8,29.43,424969
1455,3,5,3.19,360409
2824,3,15,9.87,530440
1684,1,28,6.54,264845
959,3,2,8.79,296594
521,5,19,15.07,285238
2800,3,35,11.81,525592
1247,1,18,12.45,177170
3404,5,25,25.48,662278
974,2,2,27.97,176859
1582,3,18,3.04,334272
3058,1,19,7.06,473985
2547,2,31,20.46,395329
3247,2,6,11.4,581654
1475,4,32,8.37,340285
2306,5,39,9.56,561078
689,3,38,10.35,167425
3234,1,17,25.61,438715
1062,4,39,4.96,286086
2399,5,0,21.56,605755
1767,4,10,17.03,418188
3379,5,27,9.6,715838
2028,5,24,13.17,495382
1146,3,22,8.43,276838
2568,5,30,18.73,551622
3388,4,29,3.37,667674
2714,5,34,1.15,623891
1797,3,6,19.21,407496
2935,3,15,6.63,521500
1100,4,25,3.06,361096
2863,2,1,12.51,513789
2561,2,0,2.47,471854
741,5,11,26.71,283575
2541,1,4,1.8,443623
3324,5,36,17.79,674399
3112,4,31,13.72,571478
3445,4,8,20.49,673431
1863,4,34,10.52,440497
2639,4,18,5.5,580407
1890,4,15,29.47,394022
1978,3,2,25.33,366799
3056,2,19,25.95,477180
1275,4,23,8.26,412209
534,1,32,2.13,56540
2753,1,23,9.79,398915
2455,1,10,16.58,380930
2085,1,7,10.47,330919
1521,3,35,25.01,282125
3113,1,37,8.87,495304
1629,4,39,28.99,322504
2000,5,19,14.26,498394
1202,1,34,25.42,142698
2949,3,24,6.64,534175
3277,3,34,12.93,546076
2079,1,24,21.29,295856
661,5,28,5.01,341803
701,1,17,4.85,133141
2481,3,17,29.12,445311
1495,2,1,21.72,281264
2817,4,34,2.19,572201
1315,3,15,12.57,327779
955,1,35,13.57,114001
1775,4,32,22.58,355554
1516,1,3,8.27,225626
2843,1,32,6.35,426930
3267,2,13,3.35,588963
837,4,20,13.42,279459
1378,4,19,20.97,335612
1576,2,7,2.69,331788
1291,3,6,27.54,285094
2764,1,2,13.83,451063
1263,5,16,7.95,430880
2735,1,32,3.72,395322
879,1,11,6.3,109258
992,3,21,28.1,210369
1680,1,21,19.51,217393
2562,2,29,15.98,434179
564,2,37,20.06,85593
3068,4,37,13.63,551024
1867,5,7,22.17,465825
1652,1,26,2.38,232000
